XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
db x-trackers db Commodity Booster Bloomberg UCITS ETF (EUR hedged),LU0429790743,db X-trackers,Swap-based,Accumulating,0.860367207,1.075406512,-0.19996094741892356,6.84498208461275e-05,30.7998492876,94.29,Commodities
RBS Market Access Jim Rogers International Commodity Index ETF,LU0249326488,RBS Market Access,Swap-based,Accumulating,0.541729646,0.7949913249999999,-0.31857162592308785,4.309938467440457e-05,132.67078963,189.58,Commodities
RBS Market Access RICI-Agriculture Index ETF,LU0259321452,RBS Market Access,Swap-based,Accumulating,0.52916261,0.83215772,-0.36410779197001264,4.209956581128647e-05,44.80628454000001,141.05,Commodities
RBS Market Access RICI-Metals Index ETF,LU0259320728,RBS Market Access,Swap-based,Accumulating,0.094836111,0.26909517499999996,-0.6475740934411031,7.545051409303029e-06,17.87900985,245.21,Commodities
db x-trackers db Commodity Booster Light Energy Benchmark UCITS ETF (EUR hedged),LU0411078123,db X-trackers,Swap-based,Accumulating,0.045510445,0.05539602,-0.17845280220492377,3.6207584174899153e-06,6.339833658,104.61,Commodities
Ossiam Risk Weighted Enhanced Commodity Ex. Grains TR - UCITS ETF 1 C-EUR,LU0876440578,Ossiam,Swap-based,Accumulating,0.03666228,0.022385369999999998,0.637778602721331,2.916808634026149e-06,38.750101060000006,39.67,Commodities
Lyxor UCITS ETF S&P GSCI Industrial Metals 3 Month Forward,LU0692030603,Lyxor ETF,Swap-based,Accumulating,0.02130032,0.00032788,63.96376723191412,1.6946288469653244e-06,0.33331746,53.58,Commodities
Lyxor UCITS ETF Broad Commodities Optimix TR,LU0721447919,Lyxor ETF,Swap-based,Accumulating,0.00611991,0.049647050000000005,-0.8767316487082314,4.868929681259041e-07,2.45198559,47.58,Commodities
Lyxor UCITS ETF Broad Commodities Momentum TR,LU0721447596,Lyxor ETF,Swap-based,Accumulating,0.005719,0.01612273,-0.6452833980349482,4.549970317720433e-07,0.89594699,51.34,Commodities
Lyxor UCITS ETF S&P GSCI Aggregate 3 Month Forward,LU0721447083,Lyxor ETF,Swap-based,Accumulating,0.0038625,0.00502656,-0.23158183728036674,3.0729603693294583e-07,0.38816307,64.96,Commodities
Amundi ETF Commodities S&P GSCI Metals UCITS ETF,FR0010821744,Amundi ETF,Swap-based,Accumulating,0.0018760081178858,0.0169978783592645,-0.8896328072107127,1.492530381567226e-07,19.220587080289004,40.02,Commodities
ComStage CBK Commodity ex-Agriculture Monthly EUR Hedged TR UCITS ETF,LU1275255799,ComStage ETF,Swap-based,Accumulating,0,,,0,24.26036221,30.5,Commodities
UBS ETFs plc - CMCI Composite SF UCITS ETF (GBP) A-acc,IE00B50XJX92,UBS-ETF,Swap-based,Accumulating,0,0.00011960242959689999,-1,0,1.43702153208,31.21,Commodities
iShares Core DAX UCITS ETF (DE),DE0005933931,iShares,Full Replication,Accumulating,1319.01603372,1406.284068786,-0.06205576597432105,0.10493939153738999,9179.41816227,3.35,Equities
iShares EURO STOXX 50 UCITS ETF (DE),DE0005933956,iShares,Full Replication,Distributing,974.7392767079999,814.5930534910001,0.1965965981795217,0.07754913055670018,8159.68593793,5.51,Equities
db x-trackers DAX UCITS ETF (DR),LU0274211480,db X-trackers,Full Replication,Accumulating,618.472533781,602.420973916,0.026645088003257822,0.04920496015088124,5062.181804870401,3.6,Equities
iShares STOXX Europe 600 UCITS ETF (DE),DE0002635307,iShares,Full Replication,Distributing,556.213115396,534.017396974,0.04156366168550241,0.0442516727640953,5859.803280149999,7.04,Equities
Deka DAX UCITS ETF,DE000ETFL011,Deka ETFs,Full Replication,Accumulating,515.899121327,705.698456933,-0.2689524594270437,0.041044337978246234,1390.7151018,4.73,Equities
iShares EURO STOXX 50 UCITS ETF (Dist),IE0008471009,iShares,Full Replication,Distributing,335.87741661,357.292830505,-0.059937989420977944,0.026722019163632104,6523.65869246,6.55,Equities
db x-trackers EURO STOXX 50 UCITS ETF (DR),LU0274211217,db X-trackers,Full Replication,Distributing,239.426304625,239.090117953,0.0014061086040624282,0.019048480142074494,2549.9734795174,6.63,Equities
iShares MDAX UCITS ETF (DE) ,DE0005933923,iShares,Full Replication,Accumulating,223.300436961,205.118341409,0.08864197822146691,0.017765524743950913,1675.18781353,5.96,Equities
db x-trackers ShortDAX Daily UCITS ETF,LU0292106241,db X-trackers,Swap-based,Accumulating,173.133851117,219.60980723699998,-0.21162969315775482,0.013774329141020784,322.1578444321,6.52,Equities
Deka EURO STOXX 50 UCITS ETF,DE000ETFL029,Deka ETFs,Full Replication,Distributing,171.098182644,144.304669852,0.18567322055121038,0.013612373709496578,1206.99433767,9.03,Equities
db x-trackers EURO STOXX 50 UCITS ETF (DR),LU0380865021,db X-trackers,Full Replication,Accumulating,165.846652641,264.283516185,-0.3724669058629204,0.01319456805053053,2849.7112110300004,6.67,Equities
Deka DAX (ausschüttend) UCITS ETF,DE000ETFL060,Deka ETFs,Full Replication,Distributing,154.87965176199998,210.591557591,-0.2645495691579469,0.012322046132820022,552.23424516,6.67,Equities
iShares Core MSCI World UCITS ETF,IE00B4L5Y983,iShares,Optimised,Accumulating,147.59774318,83.48367548,0.7679832893241467,0.01174270590018401,4391.905683063797,9.39,Equities
db x-trackers MSCI Emerging Markets Index UCITS ETF,LU0292107645,db X-trackers,Swap-based,Accumulating,135.76406516100002,107.173026353,0.26677457734401,0.010801232150648939,1441.5080336055366,11.41,Equities
ComStage DAX TR UCITS ETF,LU0378438732,ComStage ETF,Swap-based,Accumulating,134.852142387,139.56221248,-0.0337488924064957,0.010728680628464056,781.05625765,6.18,Equities
iShares MSCI Japan EUR Hedged UCITS ETF,DE000A1H53P0,iShares,Optimised,Accumulating,106.497584126,149.300244,-0.2866884790489692,0.00847282473653147,3573.2520461,12.34,Equities
iShares EURO STOXX Banks 30-15 UCITS ETF (DE) ,DE0006289309,iShares,Full Replication,Distributing,106.40404574,104.090093581,0.02223028224294321,0.008465382930623662,1286.76118199,10.48,Equities
iShares EURO STOXX UCITS ETF (DE),DE000A0D8Q07,iShares,Full Replication,Distributing,104.30108304000001,110.713886581,-0.05792230531360021,0.008298073648156917,1094.39945899,18.15,Equities
Lyxor UCITS ETF DAX ,LU0252633754,Lyxor ETF,Full Replication,Accumulating,97.844026714,69.62223050399999,0.4053561054522461,0.007784357707902519,1034.649633,4.37,Equities
db x-trackers MSCI World Index UCITS ETF,LU0274208692,db X-trackers,Swap-based,Accumulating,96.08067855,67.209059867,0.4295792671424663,0.007644067765499882,1715.23728659542,11.86,Equities
iShares MSCI Emerging Markets UCITS ETF (Dist),IE00B0M63177,iShares,Optimised,Distributing,86.90911840999999,68.09205611,0.2763473946153392,0.006914389038376471,3538.9564883961402,11.2,Equities
db x-trackers ShortDAX x2 Daily UCITS ETF,LU0411075020,db X-trackers,Swap-based,Accumulating,86.88032998899999,111.909217971,-0.2236534973239288,0.006912098664866346,91.22299,16.09,Equities
iShares MSCI World UCITS ETF (Dist),IE00B0M62Q58,iShares,Optimised,Distributing,86.16826303,79.74409892,0.0805597429402869,0.006855447440392148,5585.529384005051,9.43,Equities
Lyxor UCITS ETF LevDAX ,LU0252634307,Lyxor ETF,Swap-based,Accumulating,82.23099948800001,72.645775236,0.13194468943116178,0.0065422033024459545,328.86474069999997,10.44,Equities
Source EURO STOXX 50 UCITS ETF ,IE00B60SWX25,Source Markets,Swap-based,Accumulating,77.293740027,47.07229317,0.6420219798482361,0.00614940064466602,757.34290468,6.53,Equities
db x-trackers STOXX Europe 600 UCITS ETF (DR),LU0328475792,db X-trackers,Optimised,Accumulating,76.594445573,57.512781931,0.3317812667259412,0.006093765585931163,1346.3975623938,10.77,Equities
iShares S&P 500 UCITS ETF (Dist),IE0031442068,iShares,Full Replication,Distributing,76.41449791500001,91.424033353,-0.16417494270949773,0.006079449158187794,9200.01485482474,5.78,Equities
db x-trackers MSCI Europe Index UCITS ETF (DR),LU0274209237,db X-trackers,Full Replication,Accumulating,64.091024671,72.426523657,-0.11508903872669007,0.005099007866503549,3006.2949419888755,11.13,Equities
iShares Core S&P 500 UCITS ETF,IE00B5BMR087,iShares,Full Replication,Accumulating,55.946942340999996,39.304901125,0.4234088050005238,0.004451074086706881,11412.378966057888,14.2,Equities
ComStage S&P 500 UCITS ETF,LU0488316133,ComStage ETF,Swap-based,Accumulating,52.985951920000005,234.66725969,-0.77420816184586,0.004215501110196923,99.39550478,10.52,Equities
iShares STOXX Europe 600 Banks UCITS ETF (DE),DE000A0F5UJ7,iShares,Full Replication,Distributing,51.584092732,61.039129513999995,-0.15490123888204166,0.004103970813029171,568.0498993,9.85,Equities
db x-trackers LevDAX Daily UCITS ETF,LU0411075376,db X-trackers,Swap-based,Accumulating,50.346996794,60.696234649,-0.17050872949283535,0.00400554888964969,103.8586375,20.37,Equities
iShares STOXX Europe 50 UCITS ETF (DE),DE0005933949,iShares,Full Replication,Distributing,49.014392873000006,32.183345585,0.5229738233257084,0.0038995284615009258,449.32674954000004,10.14,Equities
ETFS DAX® Daily 2x Long GO UCITS ETF,DE000A0X8994,ETF Securities,Swap-based,Accumulating,48.904920141999995,48.958037215000004,-0.001084951031977588,0.0038908189375168405,75.8047549,16.74,Equities
iShares STOXX Global Select Dividend 100 UCITS ETF (DE),DE000A0F5UH1,iShares,Full Replication,Distributing,47.64938317,60.152801200000006,-0.20786094380588882,0.0037909298667806878,879.24692809,23,Equities
iShares TecDAX UCITS ETF (DE),DE0005933972,iShares,Full Replication,Accumulating,47.616640976999996,35.210494708999995,0.3523422880175813,0.0037883249357387734,328.60829298000004,22.67,Equities
ComStage ShortDAX TR UCITS ETF,LU0603940916,ComStage ETF,Swap-based,Accumulating,47.39068966,42.702973204,0.10977494315456471,0.0037703485100419763,119.6357961,10.77,Equities
db x-trackers EURO STOXX 50 Short Daily UCITS ETF,LU0292106753,db X-trackers,Swap-based,Accumulating,46.890722328,63.824278861,-0.2653152818205565,0.003730571686813617,369.09250254799997,10.48,Equities
iShares Core EURO STOXX 50 UCITS ETF,IE00B53L3W79,iShares,Full Replication,Accumulating,46.675346286,49.402775715000004,-0.055208019985239054,0.003713436617776231,1672.2493221500001,11.75,Equities
db x-trackers DAX UCITS ETF (DR),LU0838782315,db X-trackers,Full Replication,Distributing,44.258096523,72.88254645800001,-0.3927476649227042,0.0035211230197316995,509.54218,4.63,Equities
iShares MSCI World EUR Hedged UCITS ETF,DE000A1H53Q8,iShares,Optimised,Accumulating,44.163427436,44.831404752,-0.0148997632283695,0.0035135912565588422,634.1078315499999,24.33,Equities
iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE),DE000A0H08M3,iShares,Full Replication,Distributing,43.611918741,27.790791594999998,0.5692938645492369,0.003469713862045558,293.96436486,18.65,Equities
Amundi ETF EURO STOXX 50 UCITS ETF,FR0010654913,Amundi ETF,Swap-based,Accumulating,42.81176582,38.501777350000005,0.1119425846453812,0.003406054620216789,1407.386315578,7.44,Equities
db x-trackers MSCI USA Index UCITS ETF,LU0274210672,db X-trackers,Swap-based,Accumulating,42.620896359,57.054342824,-0.2529771749281906,0.0033908692664467366,1629.661050181561,9.6,Equities
iShares NASDAQ-100 UCITS ETF (DE),DE000A0F5UF5,iShares,Full Replication,Distributing,41.655397685000004,30.516426978,0.36501556080042885,0.0033140553075640925,688.9500497280346,9.39,Equities
Lyxor UCITS ETF MSCI Emerging Markets ,FR0010429068,Lyxor ETF,Swap-based,Accumulating,39.152471240000004,27.364303579999998,0.430786320782369,0.0031149253716979005,883.985431,11.33,Equities
db x-trackers MSCI Europe Small Cap Index UCITS ETF (DR),LU0322253906,db X-trackers,Optimised,Accumulating,37.625354909,23.005056940000003,0.6355253980518945,0.0029934297609660217,597.6846703578427,26.27,Equities
iShares EURO STOXX Select Dividend 30 UCITS ETF (DE),DE0002635281,iShares,Full Replication,Distributing,36.364346706,15.264570517000001,1.3822711988851166,0.002893105405413443,484.30631678,15.66,Equities
iShares STOXX Europe 600 Health Care UCITS ETF (DE),DE000A0Q4R36,iShares,Full Replication,Distributing,36.336784268,29.769165115,0.22061818420600354,0.0028909125696941914,573.02197652,17.47,Equities
Lyxor UCITS ETF EURO STOXX 50 ,FR0007054358,Lyxor ETF,Swap-based,Distributing,35.594985697,41.843464236,-0.14932985719724723,0.0028318959325237514,7760.321124,9.52,Equities
iShares STOXX Europe 50 UCITS ETF,IE0008470928,iShares,Full Replication,Distributing,35.075611922,88.587131476,-0.6040552240761665,0.002790575155114197,753.36272988,12.97,Equities
ETFS DAX® Daily 2x Short GO UCITS ETF,DE000A0X9AA8,ETF Securities,Swap-based,Accumulating,32.955928689,59.513058398000005,-0.4462403785635807,0.002621935606362323,56.74148175,14.47,Equities
db x-trackers S&P 500 UCITS ETF,LU0490618542,db X-trackers,Swap-based,Accumulating,32.201625237,53.787953572999996,-0.40132272938592906,0.0025619240953087463,1521.823410081903,7.96,Equities
iShares S&P 500 EUR Hedged UCITS ETF,DE000A1H53N5,iShares,Optimised,Accumulating,31.827382223,34.206504733,-0.069551757145909,0.0025321497535477,956.52157448,14.53,Equities
Source STOXX Europe 600 UCITS ETF,IE00B60SWW18,Source Markets,Swap-based,Accumulating,31.287049120000002,21.10769658,0.48225785800072374,0.002489161476220689,576.44417201,14.16,Equities
db x-trackers MSCI EM Asia Index UCITS ETF,LU0292107991,db X-trackers,Swap-based,Accumulating,30.872178881,19.107232351,0.6157326353643398,0.0024561548793828572,512.9536568701634,23.7,Equities
iShares MSCI Japan UCITS ETF (Dist),DE000A0DPMW9,iShares,Optimised,Distributing,30.676645423,29.683326835000003,0.033463856444445605,0.002440598463400671,2589.8677388368283,20.87,Equities
iShares MSCI Europe UCITS ETF (Dist),IE00B1YZSC51,iShares,Optimised,Distributing,30.640802129999997,31.5605245,-0.029141542625503614,0.002437746812426036,5565.43138037,12.39,Equities
db x-trackers MSCI Japan Index UCITS ETF (DR),LU0274209740,db X-trackers,Full Replication,Accumulating,29.444945646,47.579369086999996,-0.381140477248464,0.002342605852355158,1016.7084109204847,18.23,Equities
iShares DivDAX UCITS ETF (DE),DE0002635273,iShares,Full Replication,Distributing,29.243662454,28.273260246,0.03432226066455457,0.0023265919941796724,567.80206077,13.32,Equities
Source EURO STOXX Optimised Banks UCITS ETF ,IE00B3Q19T94,Source Markets,Swap-based,Accumulating,29.04877827,32.48588482,-0.10580307629127406,0.0023110872336866988,320.08374847000005,11.2,Equities
Lyxor UCITS ETF MSCI World ,FR0010315770,Lyxor ETF,Swap-based,Distributing,28.841867336,40.469648799000005,-0.28732103707525436,0.002294625638860474,1044.327058,7.68,Equities
Deka MSCI USA MC UCITS ETF,DE000ETFL276,Deka ETFs,Full Replication,Distributing,28.08717016,66.55108251,-0.5779607318065847,0.0022345828035804,29.350257493323678,25.15,Equities
Source S&P 500 UCITS ETF - EUR Hedged,IE00BRKWGL70,Source Markets,Swap-based,Accumulating,27.63253552,5.65260934,3.8884566149763327,0.0021984125969462414,92.9488,14.86,Equities
SPDR S&P US Dividend Aristocrats UCITS ETF,IE00B6YX5D40,SPDR,Full Replication,Distributing,27.14837497,16.98726534,0.5981604117334638,0.002159893343029277,1947.423988276732,18.58,Equities
SPDR S&P Euro Dividend Aristocrats UCITS ETF,IE00B5M1WJ87,SPDR,Full Replication,Distributing,27.08320915,23.48082853,0.15341795181534845,0.00215470882568831,661.2419445700001,16.64,Equities
UBS ETF – MSCI World UCITS ETF (USD) A-dis,LU0340285161,UBS-ETF,Optimised,Distributing,27.003836503,19.621689817,0.376223799012672,0.002148394029607021,894.0381115900001,8.4,Equities
Amundi ETF Japan Topix EUR Hedged Daily UCITS ETF,FR0011314277,Amundi ETF,Swap-based,Acc / Distr,26.224937078,64.744562073,-0.5949476490638522,0.0020864256913618816,1007.4429799200001,12.59,Equities
Lyxor UCITS ETF MSCI India ,FR0010361683,Lyxor ETF,Swap-based,Accumulating,25.977292226,33.524079965,-0.22511543185910066,0.002066723353087074,1198.45522,23.76,Equities
SPDR S&P 500 UCITS ETF,IE00B6YX5C33,SPDR,Full Replication,Distributing,25.74837436,47.0741572,-0.45302527136906445,0.0020485109121796442,988.6901082537966,8.6,Equities
Source MSCI Europe UCITS ETF ,IE00B60SWY32,Source Markets,Swap-based,Accumulating,24.306859460000002,19.867652544,0.22343892446119096,0.0019338256523868179,494.81573851,9.02,Equities
Lyxor UCITS ETF China Enterprise (HSCEI) ,FR0010204081,Lyxor ETF,Swap-based,Accumulating,24.185411248,17.190077395,0.40694021860743357,0.0019241633729718815,557.8849243,22.78,Equities
ComStage NASDAQ-100 UCITS ETF,LU0378449770,ComStage ETF,Swap-based,Accumulating,23.844676366,56.808656235,-0.5802633269943601,0.0018970548994745571,163.53135608000002,10.21,Equities
db x-trackers MSCI EMU INDEX UCITS ETF (DR),LU0846194776,db X-trackers,Full Replication,Distributing,23.61470621,23.18212973,0.018659911105587623,0.0018787587395906345,588.15898064,19.05,Equities
db x-trackers FTSE EPRA/NAREIT Developed Europe Real Estate UCITS ETF (DR),LU0489337690,db X-trackers,Optimised,Accumulating,23.347354608,28.089021815000002,-0.16880855582047627,0.0018574885550567122,248.8434041744,27.34,Equities
db x-trackers S&P 500 UCITS ETF (Prospective DR),IE00BM67HW99,db X-trackers,Full Replication,Accumulating,22.02366897,20.6287494,0.0676201713905158,0.0017521776551984705,224.08090233320002,21.82,Equities
iShares STOXX Europe 600 Food & Beverage UCITS ETF (DE),DE000A0H08H3,iShares,Full Replication,Distributing,21.338194708,12.348146494000002,0.728048393203651,0.001697642114970086,145.17925251,17.87,Equities
iShares MSCI AC Far East ex-Japan UCITS ETF,DE000A0HGZS9,iShares,Optimised,Distributing,21.126814567,13.232851762,0.5965428274250475,0.0016808249551990499,1361.618366287974,20.85,Equities
Deka DAXplus Maximum Dividend UCITS ETF,DE000ETFL235,Deka ETFs,Full Replication,Distributing,20.944626825,11.879030098,0.7631596731560029,0.0016663303089610273,305.14857852999995,29.24,Equities
iShares MSCI EMU UCITS ETF,IE00B53QG562,iShares,Full Replication,Accumulating,19.62273902,26.810141072,-0.26808520077152387,0.0015611624426188938,1251.75916147,20.97,Equities
Deka MSCI USA UCITS ETF,DE000ETFL268,Deka ETFs,Full Replication,Distributing,19.412087412,31.025754199,-0.37432343183374805,0.0015444032440915276,222.649724908342,15.41,Equities
iShares Core MSCI Japan IMI UCITS ETF,DE000A0YBR53,iShares,Optimised,Accumulating,19.404628506,16.978181947,0.14291557049951087,0.0015438098221488335,968.271771951857,23.34,Equities
db x-trackers MSCI AC Asia ex Japan Index UCITS ETF,LU0322252171,db X-trackers,Swap-based,Accumulating,18.880118583999998,20.540748916000002,-0.08084565654305198,0.001502080418818708,742.0045154756469,25.82,Equities
ComStage NYSE Arca Gold BUGS UCITS ETF,LU0488317701,ComStage ETF,Swap-based,Accumulating,17.921489215999998,16.116795203,0.11197598469601888,0.0014258129739840326,156.78228112,70.23,Equities
Source S&P 500 UCITS ETF ,DE000A1JM6F5,Source Markets,Swap-based,Accumulating,17.7087308,34.275724780000004,-0.48334481871166435,0.001408886160246575,2061.36091925,6.29,Equities
iShares STOXX Europe Select Dividend 30 UCITS ETF (DE),DE0002635299,iShares,Full Replication,Distributing,17.4357923,20.88153059,-0.16501368398972338,0.0013871714885633586,422.45828941,17.58,Equities
ComStage MSCI World TRN UCITS ETF,LU0392494562,ComStage ETF,Swap-based,Accumulating,17.415831127,19.710039446,-0.11639795675120224,0.0013855834007043468,585.42602246,13.7,Equities
db x-trackers MSCI Japan EUR Hedged Index UCITS ETF (DR),LU0659580079,db X-trackers,Full Replication,Accumulating,17.351039676,19.01620354,-0.08756552592095368,0.0013804286677284413,470.31798348150005,22.77,Equities
iShares Core MSCI Emerging Markets IMI UCITS ETF,IE00BKM4GZ66,iShares,Optimised,Accumulating,17.028475620000002,20.08694595,-0.15226159007014195,0.001354765844151531,1352.1020734819172,31.13,Equities
db x-trackers MSCI USA Index UCITS ETF (DR),IE00BJ0KDR00,db X-trackers,Full Replication,Accumulating,16.73953853,5.51882845,2.0331688476383065,0.0013317783431340711,1293.09153510992,10.43,Equities
SPDR MSCI EMU UCITS ETF,IE00B910VR50,SPDR,Full Replication,Accumulating,16.67987863,11.11042267,0.5012820956882642,0.0013270318704262873,277.53719462,17.63,Equities
iShares Gold Producers UCITS ETF,DE000A1JS9D8,iShares,Full Replication,Accumulating,16.670353955,11.633040782,0.4330177524000707,0.0013262740982889216,196.98793364281158,90.31,Equities
db x-trackers S&P 500 Inverse Daily UCITS ETF,LU0322251520,db X-trackers,Swap-based,Accumulating,16.605138041,15.290669681,0.08596538852927682,0.0013210855955271973,272.68498703264345,12.21,Equities
iShares Nikkei 225 UCITS ETF (DE),DE000A0H08D2,iShares,Full Replication,Distributing,16.037482792,11.391180336,0.4078859537774242,0.0012759235998347999,208.54712771817,40.94,Equities
iShares STOXX Europe Small 200 UCITS ETF (DE),DE000A0D8QZ7,iShares,Full Replication,Distributing,15.941728923000001,25.551412489999997,-0.3760920681297333,0.0012683055326594742,380.67910564,21.72,Equities
db x-trackers STOXX Europe 600 Health Care UCITS ETF,LU0292103222,db X-trackers,Swap-based,Accumulating,15.907533234999999,19.208838359999998,-0.1718638609544736,0.0012655849632348538,183.59524605520002,16.25,Equities
Source STOXX Europe 600 Optimised Banks UCITS ETF,IE00B5MTWD60,Source Markets,Swap-based,Accumulating,15.37677697,5.72694099,1.6849895951171656,0.0012233586080732145,108.73505889,12.43,Equities
UBS ETF – MSCI EMU UCITS ETF (EUR) A-dis,LU0147308422,UBS-ETF,Full Replication,Distributing,15.07939665,7.601048444,0.9838574587566462,0.001199699373432994,2158.1981910100003,13.26,Equities
Lyxor UCITS ETF EURO STOXX 50 Daily Leverage ,FR0010468983,Lyxor ETF,Swap-based,Accumulating,14.993034908,12.861826232,0.16570031639034188,0.0011928285330293112,293.90751769999997,18.88,Equities
UBS ETF – MSCI Emerging Markets UCITS ETF (USD) A-dis,LU0480132876,UBS-ETF,Optimised,Distributing,14.682101126000001,16.077104357,-0.08676955750384319,0.0011680910006132148,291.14827924,24.95,Equities
db x-trackers CSI 300 UCITS ETF,LU0779800910,db X-trackers,Swap-based,Accumulating,14.506129608999998,14.987071502000001,-0.03209045162264168,0.0011540909100534271,211.41117005357,93.08,Equities
db x-trackers MSCI World Financials Index UCITS ETF,LU0540980140,db X-trackers,Swap-based,Accumulating,14.449598262,12.21991442,0.18246313070333264,0.001149593341407322,299.144869673625,52.99,Equities
iShares MSCI North America UCITS ETF,DE000A0J2060,iShares,Optimised,Distributing,14.366202742,36.709785415,-0.6086546794106342,0.0011429584901985295,2172.0091063828277,12.01,Equities
iShares STOXX Europe 600 Basic Resources UCITS ETF (DE),DE000A0F5UK5,iShares,Full Replication,Distributing,14.252715015,18.052158201,-0.21047030187169147,0.001133929537771959,109.97066084000001,24.56,Equities
iShares S&P 500 Minimum Volatility UCITS ETF,DE000A1KB2E7,iShares,Optimised,Accumulating,14.20787326,2.57996084,4.5070112071933615,0.0011303619795582068,627.8461729427296,23.85,Equities
db x-trackers STOXX Global Select Dividend 100 UCITS ETF,LU0292096186,db X-trackers,Swap-based,Distributing,14.136276903999999,17.336726619,-0.18460519020312072,0.0011246658562034776,581.4842623266,21.01,Equities
Amundi ETF MSCI EM Asia UCITS ETF - EUR,FR0011020965,Amundi ETF,Swap-based,Acc / Distr,14.035859053,5.54221614,1.5325354873294423,0.0011166767280094006,362.88128128000005,34.2,Equities
ComStage FR DAX UCITS ETF,LU0488317024,ComStage ETF,Full Replication,Distributing,13.9671357,47.19182918,-0.7040348733522009,0.0011112091774536353,95.48999309999999,8.51,Equities
Deka EURO STOXX Select Dividend 30 UCITS ETF,DE000ETFL078,Deka ETFs,Full Replication,Distributing,13.78871827,7.399682009999999,0.8634203809522893,0.0010970144928817878,130.25984739,23.64,Equities
Lyxor UCITS ETF Daily ShortDAX x2 ,FR0010869495,Lyxor ETF,Swap-based,Accumulating,13.729120639,13.845583052999999,-0.008411521100569641,0.0010922729742236926,43.94731113,23.75,Equities
iShares European Property Yield UCITS ETF,DE000A0HG2Q2,iShares,Full Replication,Distributing,13.44615781,18.845108146,-0.286490812054372,0.0010697607785082144,1481.79889059,29.05,Equities
db x-trackers CAC 40 UCITS ETF (DR),LU0322250985,db X-trackers,Full Replication,Distributing,13.37583273,10.60234939,0.26159139243382357,0.0010641657964031031,57.647131931500006,11.72,Equities
Source EURO STOXX 50 UCITS ETF,IE00B5B5TG76,Source Markets,Swap-based,Distributing,13.361588509999999,9.78385391,0.3656774347727356,0.0010630325427189084,26.600853439999998,11.22,Equities
iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE),DE000A0Q4R28,iShares,Full Replication,Distributing,12.899090947000001,15.643272141,-0.17542245441141935,0.0010262367710163727,144.67423093,18.71,Equities
Source STOXX Europe 600 Optimised Industrial Goods & Services UCITS ETF,IE00B5MJYX09,Source Markets,Swap-based,Accumulating,12.86870435,57.76507892,-0.7772234611187475,0.0010238192484703587,2.51463053,13.62,Equities
db x-trackers MSCI EM Eastern Europe Index UCITS ETF,LU0592217870,db X-trackers,Swap-based,Accumulating,12.767189301,20.352777343,-0.3727053027781949,0.0010157428284711992,7.082583059449999,54.31,Equities
